,USAF,WBAN,STATION NAME,CTRY,STATE,ICAO,LAT,LON,ELEV(M),BEGIN,END,airport
19973,725180,14735,ALBANY INTERNATIONAL AIRPORT,US,NY,KALB,42.747,-73.79899999999999,85.3,19460101,20181019,True
19988,725200,94823,PITTSBURGH INTERNATIONAL AIRPORT,US,PA,KPIT,40.485,-80.214,366.7,19450201,20181019,True
19999,725210,14895,AKRON-CANTON REGIONAL AIRPORT,US,OH,KCAK,40.918,-81.444,369.7,19730101,20181019,True
20027,725250,14852,YOUNGSTOWN-WARREN REGIONAL AIRPORT,US,OH,KYNG,41.255,-80.67399999999999,355.7,19480101,20181019,True
20041,725266,4751,BRADFORD REGIONAL AIRPORT,US,PA,KBFD,41.8,-78.633,652.9,19730101,20181019,True
20042,725267,94868,VENANGO REGIONAL AIRPORT,US,PA,KFKL,41.383,-79.867,469.4,19730101,20181019,True
20054,725292,14976,GRINNELL REGIONAL AIRPORT,US,IA,KGGI,41.717,-92.7,307.2,20060831,20181019,True
20060,725300,94846,CHICAGO O'HARE INTERNATIONAL AIRPORT,US,IL,KORD,41.995,-87.934,201.8,19461001,20181019,True
20076,725320,14842,GREATER PEORIA REGIONAL AIRPORT,US,IL,KPIA,40.668,-89.684,198.1,19730101,20181019,True
20084,725330,14827,FORT WAYNE INTERNATIONAL AIRPORT,US,IN,KFWA,40.971000000000004,-85.206,241.1,19411101,20181019,True
20097,725345,14834,JOLIET REGIONAL AIRPORT,US,IL,KJOT,41.5,-88.167,177.4,20020902,20181019,True
20101,725347,14880,WAUKEGAN REGIONAL AIRPORT,US,IL,KUGN,42.417,-87.867,221.6,20060101,20181019,True
20106,725350,14848,SOUTH BEND REGIONAL AIRPORT,US,IN,KSBN,41.707,-86.316,235.6,19730101,20181019,True
20163,725420,14931,SE IOWA REGIONAL AIRPORT,US,IA,KBRL,40.783,-91.125,210.9,20090101,20181019,True
20169,725440,14923,QUAD CITY INTERNATIONAL AIRPORT,US,IL,KMLI,41.465,-90.523,180.4,19730101,20181019,True
20182,725460,14933,DES MOINES INTERNATIONAL AIRPORT,US,IA,KDSM,41.534,-93.65299999999999,291.7,19730101,20181019,True
